ARTICULO;REGISTRO SANITARIO;CUM;ATC
EMPA015;2016M-0017418;20101182-06;A10BD20
EMPA016;2020M-0016002-R1;20073367-3;A10BK03
EMTR001;2020M-0016089-R1;20092764-02;J05AR03
ENAL001;2017M-012985-R3;000044569-25;S01XA20
ENAL002;2018M-013716-R3;40113-37;C09AA02
ENSU001;RSA-001507-2016;N/A;N/A
ensu002;RSA-001241-2016;N/A;N/A
ERGO001;2016M-015043-R2;019912966-07;N02CA52
ERIT002;2018M-0013503-R1;20047839-2;B03XA01
ERTA001;2020M-0016196-R1;20086217-1;J01DH03
ESCI001;2015M-0015699;20076842-1;N06AB10
ESOM001; 2008M-0008173;19986854-1;A02BC05
ESOM002;2016M-0005553-R1;19960390-14;A02BC05
ESPI001;2018M-0006839-R1;19973061-01;C03DA01
ESPI003;2019M-0003477-R2;19942429-2;C03DA01
ESTR001;2010M-0010773;N/A;A06AD65
ETIL001;2014M-0015540;20072168-01;C01CA01
ETOR001;2019M-0018855;#N/D;S01XA20
FACT004;2020MB-0008155-R1;19986294-02;B02BD02
FENI001;2012M-0013326;20097693-01;N03AB02
FENI002;2009M-0009180;19990588-06;N03AB02
FENI004;2019M-0012849-R1;20040082-06;N03AB02
FENO001;2010M-14111-R1;19905549-01;N03AA02
FENO003;2009M-0010015;20008611-01;N03AA02
FENO004;2019M-0009960-R1;20004900-01;N03AA02
FENO006;2010M-14110-R1;19905550-01;N03AA02
FENT001;2020M-0002104-R2;19931880-9;N01AH01
FIBR003;2010M-0010344;20002154-2;B02BC30
FITO001;2018M-011075-R2;226665-01;B02BA01
FLUC001;2016M-0005429-R1;19956005-1;J02AC01
FLUC002;2009M-12744R1;39613-01;J02AC01
FLUD002;2019M-012722-R2;27649-01;H02AA02
FLUM002;2012-M-0013278;20044623-01;V03AB25
FLUN003;2020M-0010656-R1;19999406-01;N07CA03
FLUO001;2017M-0005587-R1;19956947-07;N06AB03
FOLI001;2009M-011236-R2;35662-18;B03BB01
FOND003;2017M-0006595-R1;19968360-04;B01AX05
fosf001;2019M-0015204-R1;20071230-02;J01XX01
